Gene	Ensembl	Uniprot_Accession	Gene.description	HPA.evidence	RNA.tissue.specificity	RNA.tissue.specificity.score	RNA.tissue.specific.nTPM	Uniprot_Name	Mass	GO_Annotations	GeneID	Pubmed_Citations	Antibody.Count	HGNC	ASCTB_Tissues	ASCTB_UBERON
OR1D5	ENSG00000262628	P58170	Olfactory receptor family 1 subfamily D member 5	No human protein/transcript evidence	Not detected	NA		OR1D5_HUMAN	35424	9	8386	6	1	NA	NA	NA
OR1E1	ENSG00000180016	P30953	Olfactory receptor family 1 subfamily E member 1	No human protein/transcript evidence	Not detected	NA		OR1E1_HUMAN	35264	10	8387	10	0	NA	NA	NA
OR1E2	ENSG00000127780	P47887	Olfactory receptor family 1 subfamily E member 2	Evidence at transcript level	Tissue enriched	12	brain: 1.1	OR1E2_HUMAN	36391	9	8388	10	0	NA	NA	NA
OR1F1	ENSG00000168124	O43749	Olfactory receptor family 1 subfamily F member 1	Evidence at transcript level	Tissue enhanced	NA	brain: 2.6	OR1F1_HUMAN	34866	7	4992	8	1	NA	NA	NA
OR1G1	ENSG00000183024	P47890	Olfactory receptor family 1 subfamily G member 1	No human protein/transcript evidence	Not detected	NA		OR1G1_HUMAN	34924	7	8390	11	0	NA	NA	NA
OR1I1	ENSG00000094661	O60431	Olfactory receptor family 1 subfamily I member 1	Evidence at transcript level	Tissue enhanced	NA	brain: 1.4	OR1I1_HUMAN	39297	7	126370	5	0	NA	NA	NA
OR1J1	ENSG00000136834	Q8NGS3	Olfactory receptor family 1 subfamily J member 1	No human protein/transcript evidence	Not detected	NA		OR1J1_HUMAN	35493	7	347168	5	0	NA	NA	NA
OR1J2	ENSG00000197233	Q8NGS2	Olfactory receptor family 1 subfamily J member 2	No human protein/transcript evidence	Not detected	NA		OR1J2_HUMAN	35385	7	26740	7	1	NA	NA	NA
OR1J4	ENSG00000239590	Q8NGS1	Olfactory receptor family 1 subfamily J member 4	No human protein/transcript evidence	Not detected	NA		OR1J4_HUMAN	34959	7	26219	5	0	NA	NA	NA
OR1K1	ENSG00000165204	Q8NGR3	Olfactory receptor family 1 subfamily K member 1	No human protein/transcript evidence	Not detected	NA		OR1K1_HUMAN	34268	7	392392	5	0	NA	NA	NA
OR1L1	ENSG00000173679	Q8NH94	Olfactory receptor family 1 subfamily L member 1	No human protein/transcript evidence	Not detected	NA		OR1L1_HUMAN	41046	7	26737	2	0	NA	NA	NA
OR1L3	ENSG00000171481	Q8NH93	Olfactory receptor family 1 subfamily L member 3	No human protein/transcript evidence	Not detected	NA		OR1L3_HUMAN	36633	8	26735	5	1	NA	NA	NA
OR1L4	ENSG00000136939	Q8NGR5	Olfactory receptor family 1 subfamily L member 4	No human protein/transcript evidence	Not detected	NA		OR1L4_HUMAN	35277	7	254973	3	0	NA	NA	NA
OR1L6	ENSG00000171459	Q8NGR2	Olfactory receptor family 1 subfamily L member 6	No human protein/transcript evidence	Not detected	NA		OR1L6_HUMAN	39515	7	392390	3	0	NA	NA	NA
OR1L8	ENSG00000171496	Q8NGR8	Olfactory receptor family 1 subfamily L member 8	No human protein/transcript evidence	Not detected	NA		OR1L8_HUMAN	35083	7	138881	4	0	NA	NA	NA
OR1M1	ENSG00000170929	Q8NGA1	Olfactory receptor family 1 subfamily M member 1	Evidence at transcript level	Tissue enriched	4	brain: 3.5	OR1M1_HUMAN	34840	7	125963	5	0	NA	NA	NA
OR1N1	ENSG00000171505	Q8NGS0	Olfactory receptor family 1 subfamily N member 1	No human protein/transcript evidence	Not detected	NA		OR1N1_HUMAN	34650	7	138883	5	0	NA	NA	NA
OR1N2	ENSG00000171501	Q8NGR9	Olfactory receptor family 1 subfamily N member 2	No human protein/transcript evidence	Not detected	NA		OR1N2_HUMAN	36889	8	138882	5	0	NA	NA	NA
OR1Q1	ENSG00000165202	Q15612	Olfactory receptor family 1 subfamily Q member 1	Evidence at transcript level	Tissue enhanced	NA	retina: 1.2	OR1Q1_HUMAN	35598	9	158131	6	0	NA	NA	NA
OR1S1	ENSG00000280204	Q8NH92	Olfactory receptor family 1 subfamily S member 1	No human protein/transcript evidence	Not detected	NA		OR1S1_HUMAN	36707	7	219959	4	0	NA	NA	NA
OR1S2	ENSG00000197887	Q8NGQ3	Olfactory receptor family 1 subfamily S member 2	No human protein/transcript evidence	Not detected	NA		OR1S2_HUMAN	36579	7	219958	3	1	NA	NA	NA
OR2A1	ENSG00000221970	Q8NGT9	Olfactory receptor family 2 subfamily A member 1	Evidence at transcript level	Tissue enhanced	NA	thyroid gland: 2.4	OR2A1_HUMAN	34714	6	346528	4	1	NA	NA	NA
OR2A12	ENSG00000221858	Q8NGT7	Olfactory receptor family 2 subfamily A member 12	No human protein/transcript evidence	Not detected	NA		O2A12_HUMAN	35213	6	346525	6	1	NA	NA	NA
OR2A14	ENSG00000221938	Q96R47	Olfactory receptor family 2 subfamily A member 14	No human protein/transcript evidence	Not detected	NA		O2A14_HUMAN	34993	6	135941	4	0	NA	NA	NA
OR2A2	ENSG00000221989	Q6IF42	Olfactory receptor family 2 subfamily A member 2	No human protein/transcript evidence	Not detected	NA		OR2A2_HUMAN	35820	6	442361	6	2	NA	NA	NA
OR2A25	ENSG00000221933	A4D2G3	Olfactory receptor family 2 subfamily A member 25	No human protein/transcript evidence	Not detected	NA		O2A25_HUMAN	34606	7	392138	5	0	NA	NA	NA
OR2A4	ENSG00000180658	O95047	Olfactory receptor family 2 subfamily A member 4	No human protein/transcript evidence	Not detected	NA		OR2A4_HUMAN	34802	14	79541	11	1	NA	NA	NA
OR2A42	ENSG00000212807	Q8NGT9	Olfactory receptor family 2 subfamily A member 42	Evidence at transcript level	Tissue enhanced	NA	choroid plexus: 1.6	OR2A1_HUMAN	34714	6	402317	3	0	NA	NA	NA
OR2A5	ENSG00000221836	Q96R48	Olfactory receptor family 2 subfamily A member 5	No human protein/transcript evidence	Not detected	NA		OR2A5_HUMAN	35207	6	393046	5	0	NA	NA	NA
OR2A7	ENSG00000243896	Q96R45	Olfactory receptor family 2 subfamily A member 7	Evidence at transcript level	Low tissue specificity	NA		OR2A7_HUMAN	34742	7	401427	5	0	NA	NA	NA
OR2AE1	ENSG00000244623	Q8NHA4	Olfactory receptor family 2 subfamily AE member 1	No human protein/transcript evidence	Not detected	NA		O2AE1_HUMAN	36588	6	81392	4	0	NA	NA	NA
OR2AG1	ENSG00000279486	Q9H205	Olfactory receptor family 2 subfamily AG member 1	No human protein/transcript evidence	Not detected	NA		O2AG1_HUMAN	35270	7	144125	10	0	NA	NA	NA
OR2AG2	ENSG00000188124	A6NM03	Olfactory receptor family 2 subfamily AG member 2	No human protein/transcript evidence	Not detected	NA		O2AG2_HUMAN	35270	6	338755	5	0	NA	NA	NA
OR2AJ1	ENSG00000177275	Q8NGZ0	Olfactory receptor family 2 subfamily AJ member 1	No human protein/transcript evidence	Not detected	NA		O2AJ1_HUMAN	37063	6	127608	3	0	NA	NA	NA
OR2AK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
OR2AP1	ENSG00000179615	Q8NGE2	Olfactory receptor family 2 subfamily AP member 1	No human protein/transcript evidence	Not detected	NA		O2AP1_HUMAN	34902	6	121129	2	0	NA	NA	NA
OR2AT4	ENSG00000171561	A6NND4	Olfactory receptor family 2 subfamily AT member 4	Evidence at transcript level	Tissue enhanced	NA	brain: 3.4;retina: 1.8	O2AT4_HUMAN	35503	12	341152	6	0	NA	NA	NA
OR2B11	ENSG00000177535	Q5JQS5	Olfactory receptor family 2 subfamily B member 11	No human protein/transcript evidence	Not detected	NA		OR2BB_HUMAN	35342	6	127623	5	0	NA	NA	NA
OR2B2	ENSG00000168131	Q9GZK3	Olfactory receptor family 2 subfamily B member 2	No human protein/transcript evidence	Not detected	NA		OR2B2_HUMAN	40412	6	81697	4	0	NA	NA	NA
OR2B3	ENSG00000204703	O76000	Olfactory receptor family 2 subfamily B member 3	No human protein/transcript evidence	Not detected	NA		OR2B3_HUMAN	35543	6	442184	9	1	NA	NA	NA
OR2B6	ENSG00000124657	P58173	Olfactory receptor family 2 subfamily B member 6	No human protein/transcript evidence	Not detected	NA		OR2B6_HUMAN	35414	6	26212	6	1	NA	NA	NA
OR2C1	ENSG00000168158	O95371	Olfactory receptor family 2 subfamily C member 1	No human protein/transcript evidence	Not detected	NA		OR2C1_HUMAN	34412	8	4993	5	0	NA	NA	NA
OR2C3	ENSG00000196242	Q8N628	Olfactory receptor family 2 subfamily C member 3	Evidence at transcript level	Tissue enhanced	NA	brain: 1.1;testis: 1.1	OR2C3_HUMAN	35376	6	81472	7	0	NA	NA	NA
OR2C3	ENSG00000196242	Q8N628	Olfactory receptor family 2 subfamily C member 3	Evidence at transcript level	Tissue enhanced	NA	brain: 1.1;testis: 1.1	OR2C3_HUMAN	35376	6	148824	4	0	NA	NA	NA
OR2D2	ENSG00000166368	Q9H210	Olfactory receptor family 2 subfamily D member 2	No human protein/transcript evidence	Not detected	NA		OR2D2_HUMAN	34172	7	120776	5	0	NA	NA	NA
OR2D3	ENSG00000178358	Q8NGH3	Olfactory receptor family 2 subfamily D member 3	No human protein/transcript evidence	Not detected	NA		OR2D3_HUMAN	37489	6	120775	4	0	NA	NA	NA
OR2F1	ENSG00000213215	Q13607	Olfactory receptor family 2 subfamily F member 1	No human protein/transcript evidence	Not detected	NA		OR2F1_HUMAN	35350	7	26211	12	0	NA	NA	NA
OR2F2	ENSG00000221910	O95006	Olfactory receptor family 2 subfamily F member 2	No human protein/transcript evidence	Not detected	NA		OR2F2_HUMAN	35294	6	135948	8	0	NA	NA	NA
OR2G2	ENSG00000177489	Q8NGZ5	Olfactory receptor family 2 subfamily G member 2	No human protein/transcript evidence	Not detected	NA		OR2G2_HUMAN	35559	6	81470	3	0	NA	NA	NA
OR2G3	ENSG00000177476	Q8NGZ4	Olfactory receptor family 2 subfamily G member 3	No human protein/transcript evidence	Not detected	NA		OR2G3_HUMAN	34506	6	81469	4	0	NA	NA	NA
OR2G6	ENSG00000188558	Q5TZ20	Olfactory receptor family 2 subfamily G member 6	No human protein/transcript evidence	Not detected	NA		OR2G6_HUMAN	34890	7	391211	7	0	NA	NA	NA
OR2H1	ENSG00000204688	Q9GZK4	Olfactory receptor family 2 subfamily H member 1	Evidence at transcript level	Tissue enriched	128	testis: 12.7	OR2H1_HUMAN	35339	6	26716	12	0	NA	NA	NA
OR2H2	ENSG00000204657	O95918	Olfactory receptor family 2 subfamily H member 2	Evidence at transcript level	Tissue enhanced	NA	epididymis: 4.8;testis: 2.3	OR2H2_HUMAN	34763	8	7932	16	0	NA	NA	NA
OR2I1P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
OR2J1	ENSG00000204702	Q9GZK6	Olfactory receptor family 2 subfamily J member 1	No human protein/transcript evidence	Not detected	NA		OR2J1_HUMAN	35454	6	442185	2	1	NA	NA	NA
OR2J2	ENSG00000204700	O76002	Olfactory receptor family 2 subfamily J member 2	No human protein/transcript evidence	Not detected	NA		OR2J2_HUMAN	35204	6	26707	10	0	NA	NA	NA
OR2J3	ENSG00000204701	O76001	Olfactory receptor family 2 subfamily J member 3	No human protein/transcript evidence	Not detected	NA		OR2J3_HUMAN	34950	6	442186	15	0	NA	NA	NA
OR2K2	ENSG00000171133	Q8NGT1	Olfactory receptor family 2 subfamily K member 2	No human protein/transcript evidence	Not detected	NA		OR2K2_HUMAN	35045	6	26248	13	0	NA	NA	NA
OR2L13	ENSG00000196071	Q8N349	Olfactory receptor family 2 subfamily L member 13	Evidence at transcript level	Tissue enhanced	NA	brain: 6.8;retina: 2.2	OR2LD_HUMAN	35634	8	284521	10	1	NA	NA	NA
OR2L2	ENSG00000203663	Q8NH16	Olfactory receptor family 2 subfamily L member 2	Evidence at transcript level	Tissue enhanced	NA	brain: 3.0;retina: 1.8	OR2L2_HUMAN	35495	8	26246	5	0	NA	NA	NA
OR2L3	ENSG00000198128	Q8NG85	Olfactory receptor family 2 subfamily L member 3	No human protein/transcript evidence	Not detected	NA		OR2L3_HUMAN	35282	8	391192	2	0	NA	NA	NA
OR2L5	ENSG00000197454	Q8NG80	Olfactory receptor family 2 subfamily L member 5	No human protein/transcript evidence	Not detected	NA		OR2L5_HUMAN	35648	8	81466	4	0	NA	NA	NA
OR2L8	ENSG00000279263	Q8NGY9	Olfactory receptor family 2 subfamily L member 8	Evidence at transcript level	Tissue enriched	10	brain: 1.0	OR2L8_HUMAN	35444	8	391190	5	0	NA	NA	NA
OR2M2	ENSG00000198601	Q96R28	Olfactory receptor family 2 subfamily M member 2	No human protein/transcript evidence	Not detected	NA		OR2M2_HUMAN	39177	6	391194	3	0	NA	NA	NA
OR2M3	ENSG00000228198	Q8NG83	Olfactory receptor family 2 subfamily M member 3	Evidence at transcript level	Tissue enhanced	NA	brain: 5.7	OR2M3_HUMAN	34827	6	127062	7	0	NA	NA	NA
OR2M4	ENSG00000171180	Q96R27	Olfactory receptor family 2 subfamily M member 4	Evidence at transcript level	Tissue enhanced	NA	brain: 1.0	OR2M4_HUMAN	35071	7	26245	7	1	NA	NA	NA
OR2M5	ENSG00000162727	A3KFT3	Olfactory receptor family 2 subfamily M member 5	No human protein/transcript evidence	Not detected	NA		OR2M5_HUMAN	35112	6	127059	2	0	NA	NA	NA
OR2M7	ENSG00000177186	Q8NG81	Olfactory receptor family 2 subfamily M member 7	No human protein/transcript evidence	Not detected	NA		OR2M7_HUMAN	34902	6	391196	6	0	NA	NA	NA
OR2S2	ENSG00000278889	Q9NQN1	Olfactory receptor family 2 subfamily S member 2	No human protein/transcript evidence	Not detected	NA		OR2S1_HUMAN	35172	7	56656	13	1	NA	NA	NA
OR2T1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
OR2T10	ENSG00000184022	Q8NGZ9	Olfactory receptor family 2 subfamily T member 10	Evidence at transcript level	Tissue enriched	23	kidney: 5.1	O2T10_HUMAN	35403	6	127069	4	1	NA	NA	NA
OR2T11	ENSG00000279301	Q8NH01	Olfactory receptor family 2 subfamily T member 11	No human protein/transcript evidence	Not detected	NA		O2T11_HUMAN	34797	6	127077	7	0	NA	NA	NA
OR2T12	ENSG00000177201	Q8NG77	Olfactory receptor family 2 subfamily T member 12	Evidence at transcript level	Tissue enhanced	NA	brain: 1.7	O2T12_HUMAN	35946	6	127064	5	0	NA	NA	NA
OR2T2	ENSG00000196240	Q6IF00	Olfactory receptor family 2 subfamily T member 2	No human protein/transcript evidence	Not detected	NA		OR2T2_HUMAN	36228	6	401992	7	1	NA	NA	NA
OR2T27	ENSG00000187701	Q8NH04	Olfactory receptor family 2 subfamily T member 27	No human protein/transcript evidence	Not detected	NA		O2T27_HUMAN	35514	6	403239	3	0	NA	NA	NA
OR2T29	ENSG00000182783	Q8NH02	Olfactory receptor family 2 subfamily T member 29	No human protein/transcript evidence	Not detected	NA		O2T29_HUMAN	35595	6	343563	2	1	NA	NA	NA
OR2T3	ENSG00000196539	Q8NH03	Olfactory receptor family 2 subfamily T member 3	No human protein/transcript evidence	Not detected	NA		OR2T3_HUMAN	35598	6	343173	3	0	NA	NA	NA
OR2T33	ENSG00000177212	Q8NG76	Olfactory receptor family 2 subfamily T member 33	No human protein/transcript evidence	Not detected	NA		O2T33_HUMAN	35876	6	391195	5	0	NA	NA	NA
OR2T34	ENSG00000183310	Q8NGX1	Olfactory receptor family 2 subfamily T member 34	No human protein/transcript evidence	Not detected	NA		O2T34_HUMAN	35681	6	127068	5	0	NA	NA	NA
OR2T35	ENSG00000177151	Q8NGX2	Olfactory receptor family 2 subfamily T member 35	No human protein/transcript evidence	Not detected	NA		O2T35_HUMAN	36101	6	403244	5	1	NA	NA	NA
OR2T4	ENSG00000196944	Q8NH00	Olfactory receptor family 2 subfamily T member 4	No human protein/transcript evidence	Not detected	NA		OR2T4_HUMAN	39414	6	127074	2	1	NA	NA	NA
OR2T5	ENSG00000203661	Q6IEZ7	Olfactory receptor family 2 subfamily T member 5	No human protein/transcript evidence	Not detected	NA		OR2T5_HUMAN	35595	6	401993	5	0	NA	NA	NA
OR2T6	ENSG00000198104	Q8NHC8	Olfactory receptor family 2 subfamily T member 6	No human protein/transcript evidence	Not detected	NA		OR2T6_HUMAN	34765	6	254879	3	0	NA	NA	NA
OR2T8	ENSG00000177462	A6NH00	Olfactory receptor family 2 subfamily T member 8	No human protein/transcript evidence	Not detected	NA		OR2T8_HUMAN	34659	6	343172	3	0	NA	NA	NA
OR2V1	ENSG00000185372	Q8NHB1	Olfactory receptor family 2 subfamily V member 1	Evidence at transcript level	Tissue enhanced	NA	liver: 1.6;retina: 1.7	OR2V1_HUMAN	34857	6	26693	2	0	NA	NA	NA
OR2V2	ENSG00000182613	Q96R30	Olfactory receptor family 2 subfamily V member 2	No human protein/transcript evidence	Not detected	NA		OR2V2_HUMAN	35339	6	285659	4	0	NA	NA	NA
OR2W1	ENSG00000204704	Q9Y3N9	Olfactory receptor family 2 subfamily W member 1	No human protein/transcript evidence	Not detected	NA		OR2W1_HUMAN	36101	6	26692	11	0	NA	NA	NA
OR2W3	ENSG00000238243	Q7Z3T1	Olfactory receptor family 2 subfamily W member 3	Evidence at transcript level	Group enriched	6	bone marrow: 13.1;brain: 4.7;thyroid gland: 6.3	OR2W3_HUMAN	34789	6	343171	14	0	NA	NA	NA
OR2Y1	ENSG00000174339	Q8NGV0	Olfactory receptor family 2 subfamily Y member 1	No human protein/transcript evidence	Not detected	NA		OR2Y1_HUMAN	34731	6	134083	4	0	NA	NA	NA
OR2Z1	ENSG00000181733	Q8NG97	Olfactory receptor family 2 subfamily Z member 1	No human protein/transcript evidence	Not detected	NA		OR2Z1_HUMAN	34444	6	284383	5	0	NA	NA	NA
OR3A1	ENSG00000180090	P47881	Olfactory receptor family 3 subfamily A member 1	No human protein/transcript evidence	Not detected	NA		OR3A1_HUMAN	34609	8	4994	12	1	NA	NA	NA
OR3A2	ENSG00000221882	P47893	Olfactory receptor family 3 subfamily A member 2	Evidence at transcript level	Group enriched	6	brain: 3.3;retina: 1.1;testis: 3.2	OR3A2_HUMAN	35207	9	4995	10	1	NA	NA	NA
OR3A3	ENSG00000159961	P47888	Olfactory receptor family 3 subfamily A member 3	No human protein/transcript evidence	Not detected	NA		OR3A3_HUMAN	34963	7	8392	10	1	NA	NA	NA
OR4A15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
OR4A16	ENSG00000181961	Q8NH70	Olfactory receptor family 4 subfamily A member 16	No human protein/transcript evidence	Not detected	NA		O4A16_HUMAN	36922	5	81327	4	0	NA	NA	NA
OR4A47	ENSG00000237388	Q6IF82	Olfactory receptor family 4 subfamily A member 47	No human protein/transcript evidence	Not detected	NA		O4A47_HUMAN	34760	5	403253	6	0	NA	NA	NA
OR4A5	ENSG00000221840	Q8NH83	Olfactory receptor family 4 subfamily A member 5	No human protein/transcript evidence	Not detected	NA		OR4A5_HUMAN	34915	5	81318	5	0	NA	NA	NA
OR4B1	ENSG00000175619	Q8NGF8	Olfactory receptor family 4 subfamily B member 1	No human protein/transcript evidence	Not detected	NA		OR4B1_HUMAN	34456	5	119765	4	0	NA	NA	NA
OR4C11	ENSG00000172188	Q6IEV9	Olfactory receptor family 4 subfamily C member 11	No human protein/transcript evidence	Not detected	NA		OR4CB_HUMAN	35003	5	219429	3	0	NA	NA	NA
OR4C12	ENSG00000221954	Q96R67	Olfactory receptor family 4 subfamily C member 12	No human protein/transcript evidence	Not detected	NA		OR4CC_HUMAN	34491	6	283093	5	0	NA	NA	NA
OR4C13	ENSG00000258817	Q8NGP0	Olfactory receptor family 4 subfamily C member 13	No human protein/transcript evidence	Not detected	NA		OR4CD_HUMAN	34582	5	283092	4	0	NA	NA	NA
OR4C15	ENSG00000181939	Q8NGM1	Olfactory receptor family 4 subfamily C member 15	No human protein/transcript evidence	Not detected	NA		OR4CF_HUMAN	35667	5	81309	3	0	NA	NA	NA
OR4C16	ENSG00000279514	Q8NGL9	Olfactory receptor family 4 subfamily C member 16	No human protein/transcript evidence	Not detected	NA		OR4CG_HUMAN	34991	5	219428	6	0	NA	NA	NA
OR4C3	ENSG00000176547	Q8NH37	Olfactory receptor family 4 subfamily C member 3	No human protein/transcript evidence	Not detected	NA		OR4C3_HUMAN	33726	5	256144	3	0	NA	NA	NA
OR4C46	ENSG00000185926	A6NHA9	Olfactory receptor family 4 subfamily C member 46	No human protein/transcript evidence	Not detected	NA		O4C46_HUMAN	34533	5	119749	3	0	NA	NA	NA
OR4C5	ENSG00000176540	Q8NGB2	Olfactory receptor family 4 subfamily C member 5	No human protein/transcript evidence	Not detected	NA		OR4C5_HUMAN	36862	5	79346	3	0	NA	NA	NA
OR4C6	ENSG00000181903	Q8NH72	Olfactory receptor family 4 subfamily C member 6	No human protein/transcript evidence	Not detected	NA		OR4C6_HUMAN	34558	5	219432	3	0	NA	NA	NA
OR4D1	ENSG00000141194	Q15615	Olfactory receptor family 4 subfamily D member 1	No human protein/transcript evidence	Not detected	NA		OR4D1_HUMAN	35240	8	26689	8	1	NA	NA	NA
OR4D10	ENSG00000254466	Q8NGI6	Olfactory receptor family 4 subfamily D member 10	No human protein/transcript evidence	Not detected	NA		OR4DA_HUMAN	35300	5	390197	5	1	NA	NA	NA
OR4D11	ENSG00000176200	Q8NGI4	Olfactory receptor family 4 subfamily D member 11	No human protein/transcript evidence	Not detected	NA		OR4DB_HUMAN	34969	5	219986	3	1	NA	NA	NA
OR4D2	ENSG00000255713	P58180	Olfactory receptor family 4 subfamily D member 2	No human protein/transcript evidence	Not detected	NA		OR4D2_HUMAN	34958	6	124538	7	0	NA	NA	NA
OR4D5	ENSG00000171014	Q8NGN0	Olfactory receptor family 4 subfamily D member 5	No human protein/transcript evidence	Not detected	NA		OR4D5_HUMAN	35771	5	219875	3	1	NA	NA	NA
OR4D6	ENSG00000166884	Q8NGJ1	Olfactory receptor family 4 subfamily D member 6	No human protein/transcript evidence	Not detected	NA		OR4D6_HUMAN	35954	5	219983	9	1	NA	NA	NA
OR4D9	ENSG00000172742	Q8NGE8	Olfactory receptor family 4 subfamily D member 9	Evidence at transcript level	Tissue enhanced	NA	brain: 1.8	OR4D9_HUMAN	35666	5	390199	3	0	NA	NA	NA
OR4E1	ENSG00000276240	P0C645	Olfactory receptor family 4 subfamily E member 1	No human protein/transcript evidence	Not detected	NA		OR4E1_HUMAN	35737	7	26687	6	0	NA	NA	NA
OR4E2	ENSG00000221977	Q8NGC2	Olfactory receptor family 4 subfamily E member 2	No human protein/transcript evidence	Not detected	NA		OR4E2_HUMAN	35466	7	26686	6	0	NA	NA	NA
OR4F15	ENSG00000182854	Q8NGB8	Olfactory receptor family 4 subfamily F member 15	No human protein/transcript evidence	Not detected	NA		O4F15_HUMAN	35369	5	390649	5	1	NA	NA	NA
OR4F16	ENSG00000284662	Q6IEY1	Olfactory receptor family 4 subfamily F member 16	No human protein/transcript evidence	Not detected	NA		OR4F3_HUMAN	35074	6	81399	5	0	NA	NA	NA
OR4F17	ENSG00000176695	Q8NGA8	Olfactory receptor family 4 subfamily F member 17	No human protein/transcript evidence	Not detected	NA		O4F17_HUMAN	34212	6	81099	6	0	NA	NA	NA
OR4F21	ENSG00000176269	O95013	Olfactory receptor family 4 subfamily F member 21	No human protein/transcript evidence	Not detected	NA		O4F21_HUMAN	35094	5	441308	3	0	NA	NA	NA
OR4F29	ENSG00000284733	Q6IEY1	Olfactory receptor family 4 subfamily F member 29	No human protein/transcript evidence	Not detected	NA		OR4F3_HUMAN	35074	6	729759	4	0	NA	NA	NA
OR4F3	ENSG00000230178	Q6IEY1	Olfactory receptor family 4 subfamily F member 3	No human protein/transcript evidence	Not detected	NA		OR4F3_HUMAN	35074	6	26683	4	0	NA	NA	NA
OR4F4	ENSG00000177693	Q96R69	Olfactory receptor family 4 subfamily F member 4	No human protein/transcript evidence	Not detected	NA		OR4F4_HUMAN	34259	5	26682	7	0	NA	NA	NA
OR4F5	ENSG00000186092	Q8NH21	Olfactory receptor family 4 subfamily F member 5	No human protein/transcript evidence	Not detected	NA		OR4F5_HUMAN	34330	5	79501	3	0	NA	NA	NA
OR4F6	ENSG00000184140	Q8NGB9	Olfactory receptor family 4 subfamily F member 6	No human protein/transcript evidence	Not detected	NA		OR4F6_HUMAN	35355	5	390648	3	0	NA	NA	NA
OR4K1	ENSG00000155249	Q8NGD4	Olfactory receptor family 4 subfamily K member 1	No human protein/transcript evidence	Not detected	NA		OR4K1_HUMAN	35201	5	79544	6	0	NA	NA	NA
OR4K13	ENSG00000176253	Q8NH42	Olfactory receptor family 4 subfamily K member 13	No human protein/transcript evidence	Not detected	NA		OR4KD_HUMAN	34261	5	390433	2	1	NA	NA	NA
OR4K14	ENSG00000169484	Q8NGD5	Olfactory receptor family 4 subfamily K member 14	No human protein/transcript evidence	Not detected	NA		OR4KE_HUMAN	35053	5	122740	3	1	NA	NA	NA
OR4K15	ENSG00000169488	Q8NH41	Olfactory receptor family 4 subfamily K member 15	No human protein/transcript evidence	Not detected	NA		OR4KF_HUMAN	39088	5	81127	3	0	NA	NA	NA
OR4K17	ENSG00000176230	Q8NGC6	Olfactory receptor family 4 subfamily K member 17	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 2.2;liver: 4.7	OR4KH_HUMAN	35312	5	390436	3	1	NA	NA	NA
OR4K2	ENSG00000165762	Q8NGD2	Olfactory receptor family 4 subfamily K member 2	No human protein/transcript evidence	Not detected	NA		OR4K2_HUMAN	35357	5	390431	4	0	NA	NA	NA
OR4K5	ENSG00000176281	Q8NGD3	Olfactory receptor family 4 subfamily K member 5	No human protein/transcript evidence	Not detected	NA		OR4K5_HUMAN	36258	5	79317	4	0	NA	NA	NA
OR4L1	ENSG00000176246	Q8NH43	Olfactory receptor family 4 subfamily L member 1	No human protein/transcript evidence	Not detected	NA		OR4L1_HUMAN	35264	6	122742	3	0	NA	NA	NA
OR4M1	ENSG00000176299	Q8NGD0	Olfactory receptor family 4 subfamily M member 1	No human protein/transcript evidence	Not detected	NA		OR4M1_HUMAN	35488	7	441670	4	0	NA	NA	NA
OR4M2	ENSG00000274102	Q8NGB6	Olfactory receptor family 4 subfamily M member 2	No human protein/transcript evidence	Not detected	NA		OR4M2_HUMAN	35416	5	390538	3	0	NA	NA	NA
OR4N2	ENSG00000176294	Q8NGD1	Olfactory receptor family 4 subfamily N member 2	Evidence at transcript level	Tissue enriched	7	testis: 3.8	OR4N2_HUMAN	34721	5	390429	5	0	NA	NA	NA
OR4N4	ENSG00000183706	Q8N0Y3	Olfactory receptor family 4 subfamily N member 4	Evidence at transcript level	Tissue enriched	81	testis: 8.1	OR4N4_HUMAN	35724	5	283694	5	0	NA	NA	NA
OR4N5	ENSG00000184394	Q8IXE1	Olfactory receptor family 4 subfamily N member 5	No human protein/transcript evidence	Not detected	NA		OR4N5_HUMAN	34696	5	390437	3	1	NA	NA	NA
OR4P4	ENSG00000181927	Q8NGL7	Olfactory receptor family 4 subfamily P member 4	No human protein/transcript evidence	Not detected	NA		OR4P4_HUMAN	35795	5	81300	2	0	NA	NA	NA
OR4Q3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
OR4S1	ENSG00000176555	Q8NGB4	Olfactory receptor family 4 subfamily S member 1	No human protein/transcript evidence	Not detected	NA		OR4S1_HUMAN	34800	5	256148	3	0	NA	NA	NA
OR4S2	ENSG00000174982	Q8NH73	Olfactory receptor family 4 subfamily S member 2	No human protein/transcript evidence	Not detected	NA		OR4S2_HUMAN	35172	5	219431	5	1	NA	NA	NA
